Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
482,Domantas Sabonis\sabondo01,C,25,IND,47,46,1632,331,571,.580,35,108,.324,296,463,.639,.610,191,258,.740,155,412,567,236,46,22,143,146,888
482,Domantas Sabonis\sabondo01,PF,25,SAC,15,15,504,112,202,.554,4,17,.235,108,185,.584,.564,55,74,.743,46,139,185,87,13,5,52,57,283
483,Olivier Sarr\sarrol01,C,22,OKC,18,2,304,36,65,.554,6,17,.353,30,48,.625,.600,13,18,.722,23,38,61,13,6,8,16,41,91
484,Tomáš Satoranský\satorto01,SG,30,TOT,47,5,732,57,159,.358,9,45,.200,48,114,.421,.387,37,46,.804,23,74,97,118,27,4,35,56,160
484,Tomáš Satoranský\satorto01,SG,30,NOP,32,3,481,32,107,.299,5,31,.161,27,76,.355,.322,19,25,.760,18,46,64,76,14,1,23,33,88
484,Tomáš Satoranský\satorto01,SG,30,SAS,1,0,9,0,0,,0,0,,0,0,,,3,4,.750,0,1,1,0,0,0,0,0,3
484,Tomáš Satoranský\satorto01,SG,30,WAS,14,2,242,25,52,.481,4,14,.286,21,38,.553,.519,15,17,.882,5,27,32,42,13,3,12,23,69
485,Jordan Schakel\schakjo01,SG,23,WAS,2,0,14,0,6,.000,0,3,.000,0,3,.000,.000,0,0,,2,1,3,0,0,0,0,0,0
486,Admiral Schofield\schofad01,SF,24,ORL,34,1,393,45,104,.433,20,64,.313,25,40,.625,.529,9,12,.750,13,58,71,23,4,5,18,52,119
487,Dennis Schröder\schrode01,SG-PG,28,TOT,64,29,1837,312,724,.431,86,250,.344,226,474,.477,.490,157,184,.853,34,180,214,296,53,8,143,154,867
487,Dennis Schröder\schrode01,SG,28,BOS,49,25,1433,257,584,.440,67,192,.349,190,392,.485,.497,123,145,.848,28,136,164,208,41,5,104,116,704
487,Dennis Schröder\schrode01,PG,28,HOU,15,4,404,55,140,.393,19,58,.328,36,82,.439,.461,34,39,.872,6,44,50,88,12,3,39,38,163
488,Tre Scott\scotttr01,SF,25,CLE,2,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,1,1,2,0,1,1,0,2,6
489,Jay Scrubb\scrubja01,SG,21,LAC,18,0,121,18,46,.391,6,21,.286,12,25,.480,.457,7,10,.700,2,14,16,8,4,3,7,9,49
490,Wayne Selden\seldewa01,SG,27,NYK,3,0,19,1,4,.250,1,2,.500,0,2,.000,.375,2,4,.500,0,1,1,1,0,0,0,1,5
491,Alperen Şengün\sengual01,C,19,HOU,68,9,1353,228,483,.472,28,106,.264,200,377,.531,.501,154,221,.697,124,235,359,165,58,65,137,200,638
492,Collin Sexton\sextoco01,SG,23,CLE,11,11,316,68,151,.450,11,45,.244,57,106,.538,.487,29,39,.744,13,23,36,23,10,0,31,25,176
493,Landry Shamet\shamela01,SG,24,PHO,62,11,1279,163,417,.391,111,292,.380,52,125,.416,.524,67,80,.838,15,97,112,97,26,7,36,81,504
494,Day'Ron Sharpe\sharpda01,PF,20,BRK,32,8,391,86,149,.577,2,7,.286,84,142,.592,.584,24,41,.585,81,79,160,17,10,15,30,60,198
495,Pascal Siakam\siakapa01,PF,27,TOR,62,62,2335,535,1081,.495,72,197,.365,463,884,.524,.528,255,343,.743,118,398,516,314,76,39,165,210,1397
496,Chris Silva\silvach01,PF,25,TOT,10,0,91,8,15,.533,0,0,,8,15,.533,.533,10,12,.833,13,23,36,7,0,1,8,20,26
496,Chris Silva\silvach01,PF,25,MIN,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
496,Chris Silva\silvach01,PF,25,MIA,9,0,88,8,15,.533,0,0,,8,15,.533,.533,10,12,.833,13,22,35,7,0,1,8,20,26
497,Marko Simonovic\simonma01,C,22,CHI,9,0,35,4,15,.267,1,5,.200,3,10,.300,.300,8,11,.727,5,5,10,0,1,1,2,6,17
498,Anfernee Simons\simonan01,SG,22,POR,57,30,1681,353,797,.443,179,442,.405,174,355,.490,.555,103,116,.888,26,125,151,221,30,6,115,110,988
499,Jericho Sims\simsje01,PF,23,NYK,35,2,401,28,37,.757,0,0,,28,37,.757,.757,6,18,.333,44,75,119,15,6,14,15,50,62
500,Deividas Sirvydis\sirvyde01,SG,21,DET,3,0,27,1,10,.100,1,7,.143,0,3,.000,.150,0,0,,0,6,6,1,3,1,0,4,3
501,Javonte Smart\smartja01,PG,22,TOT,15,1,164,11,46,.239,4,19,.211,7,27,.259,.283,5,6,.833,4,15,19,14,4,2,9,11,31
501,Javonte Smart\smartja01,PG,22,MIL,13,1,160,11,43,.256,4,18,.222,7,25,.280,.302,5,6,.833,4,15,19,14,4,2,9,11,31
501,Javonte Smart\smartja01,PG,22,MIA,2,0,4,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
502,Marcus Smart\smartma01,PG,27,BOS,65,65,2120,275,657,.419,103,317,.325,172,340,.506,.497,137,173,.792,40,216,256,378,111,17,142,145,790
503,Dennis Smith Jr.\smithde03,PG,24,POR,37,4,638,79,189,.418,6,27,.222,73,162,.451,.434,42,64,.656,20,68,88,132,45,12,51,52,206
504,Ish Smith\smithis01,PG,33,TOT,57,1,939,148,355,.417,21,55,.382,127,300,.423,.446,15,24,.625,25,95,120,193,37,19,64,70,332
504,Ish Smith\smithis01,PG,33,CHO,37,1,511,73,185,.395,10,25,.400,63,160,.394,.422,12,19,.632,11,46,57,98,20,10,36,34,168
504,Ish Smith\smithis01,PG,33,WAS,20,0,428,75,170,.441,11,30,.367,64,140,.457,.474,3,5,.600,14,49,63,95,17,9,28,36,164
505,Jalen Smith\smithja04,PF,21,TOT,47,8,830,154,302,.510,35,104,.337,119,198,.601,.568,71,94,.755,91,189,280,22,12,37,39,84,414
505,Jalen Smith\smithja04,PF,21,PHO,29,4,382,63,137,.460,9,39,.231,54,98,.551,.493,40,52,.769,55,84,139,6,6,18,22,52,175
505,Jalen Smith\smithja04,PF,21,IND,18,4,448,91,165,.552,26,65,.400,65,100,.650,.630,31,42,.738,36,105,141,16,6,19,17,32,239
506,Xavier Sneed\sneedxa01,SF,24,TOT,6,0,28,2,7,.286,1,6,.167,1,1,1.000,.357,0,0,,1,3,4,0,0,0,0,2,5
506,Xavier Sneed\sneedxa01,SF,24,MEM,2,0,8,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,1,2,0,0,0,0,2,0
506,Xavier Sneed\sneedxa01,SF,24,UTA,4,0,20,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,0,2,2,0,0,0,0,0,5
507,Tony Snell\snellto01,SG,30,TOT,49,12,776,60,153,.392,42,119,.353,18,34,.529,.529,3,3,1.000,15,85,100,25,14,9,18,65,165
507,Tony Snell\snellto01,SG,30,POR,38,10,546,36,97,.371,24,75,.320,12,22,.545,.495,3,3,1.000,11,61,72,20,8,7,11,44,99
507,Tony Snell\snellto01,SG,30,NOP,11,2,230,24,56,.429,18,44,.409,6,12,.500,.589,0,0,,4,24,28,5,6,2,7,21,66
508,Jaden Springer\sprinja01,SG,19,PHI,2,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,1,2,0,0,2,1,0,2
509,Cassius Stanley\stanlca01,SG,22,DET,9,1,155,19,46,.413,4,17,.235,15,29,.517,.457,10,10,1.000,5,14,19,4,5,2,6,17,52
510,Nik Stauskas\stausni01,SG,28,TOT,8,0,39,5,14,.357,4,10,.400,1,4,.250,.500,4,6,.667,1,2,3,2,0,0,1,1,18
510,Nik Stauskas\stausni01,SG,28,MIA,2,0,24,3,8,.375,2,4,.500,1,4,.250,.500,3,4,.750,1,2,3,1,0,0,0,1,11
510,Nik Stauskas\stausni01,SG,28,BOS,6,0,15,2,6,.333,2,6,.333,0,0,,.500,1,2,.500,0,0,0,1,0,0,1,0,7
511,Lance Stephenson\stephla01,SG-SF,31,TOT,40,1,724,130,289,.450,24,85,.282,106,204,.520,.491,53,67,.791,12,102,114,139,21,3,64,82,337
511,Lance Stephenson\stephla01,SF,31,ATL,6,0,70,5,13,.385,0,3,.000,5,10,.500,.385,1,2,.500,1,14,15,11,0,0,4,8,11
511,Lance Stephenson\stephla01,SG,31,IND,34,1,654,125,276,.453,24,82,.293,101,194,.521,.496,52,65,.800,11,88,99,128,21,3,60,74,326
512,Lamar Stevens\stevela01,PF,24,CLE,56,13,855,131,267,.491,18,56,.321,113,211,.536,.524,40,60,.667,41,93,134,38,28,14,36,91,320
513,Isaiah Stewart\stewais01,C,20,DET,64,64,1662,230,444,.518,6,31,.194,224,413,.542,.525,67,95,.705,204,349,553,68,22,72,80,191,533
514,Max Strus\strusma01,SF,25,MIA,63,11,1456,226,526,.430,163,412,.396,63,114,.553,.585,39,50,.780,24,162,186,86,22,13,51,108,654
515,Jalen Suggs\suggsja01,PG,20,ORL,46,43,1273,194,537,.361,41,190,.216,153,347,.441,.399,126,163,.773,26,142,168,204,56,18,140,139,555
516,Craig Sword\swordcr01,SG,28,WAS,3,0,19,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,0,0,0,1,4,0,1,7,6
517,Keifer Sykes\sykeske01,PG,28,IND,30,11,552,65,184,.353,26,87,.299,39,97,.402,.424,14,16,.875,8,37,45,60,11,4,33,51,170
518,Jae'Sean Tate\tateja01,SF,26,HOU,72,71,1899,342,677,.505,58,188,.309,284,489,.581,.548,123,174,.707,123,270,393,209,68,40,132,264,865
519,Jayson Tatum\tatumja01,SF,23,BOS,71,71,2569,664,1474,.450,219,616,.356,445,858,.519,.525,376,437,.860,80,493,573,304,67,46,203,164,1923
520,Terry Taylor\taylote01,SG,22,IND,27,3,545,105,165,.636,9,24,.375,96,141,.681,.664,25,37,.676,71,71,142,32,8,6,17,47,244
521,Garrett Temple\templga01,SG,35,NOP,56,16,1059,108,282,.383,56,175,.320,52,107,.486,.482,28,41,.683,29,111,140,73,42,23,40,80,300
522,Emanuel Terry\terryem01,PF,25,PHO,3,0,18,0,5,.000,0,0,,0,5,.000,.000,0,0,,8,7,15,2,1,0,5,4,0
523,Tyrell Terry\terryty01,PG,21,MEM,2,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,2
524,Jon Teske\teskejo01,C,24,MEM,3,0,8,0,1,.000,0,0,,0,1,.000,.000,0,2,.000,0,2,2,1,1,0,0,1,0
525,Daniel Theis\theisda01,C,29,TOT,41,22,820,118,237,.498,28,96,.292,90,141,.638,.557,41,61,.672,46,151,197,34,19,30,42,99,305
525,Daniel Theis\theisda01,C,29,HOU,26,21,584,84,179,.469,23,79,.291,61,100,.610,.534,27,40,.675,32,98,130,20,11,17,31,62,218
525,Daniel Theis\theisda01,C,29,BOS,15,1,236,34,58,.586,5,17,.294,29,41,.707,.629,14,21,.667,14,53,67,14,8,13,11,37,87
526,Brodric Thomas\thomabr01,SG,25,BOS,10,0,48,6,15,.400,1,8,.125,5,7,.714,.433,2,4,.500,2,5,7,8,0,1,4,6,15
527,Cam Thomas\thomaca02,SG,20,BRK,62,2,1120,211,486,.434,45,169,.266,166,317,.524,.480,79,94,.840,16,133,149,76,32,8,51,60,546
528,Isaiah Thomas\thomais02,PG,32,TOT,16,1,269,53,132,.402,21,65,.323,32,67,.478,.481,18,22,.818,3,20,23,29,6,4,12,24,145
528,Isaiah Thomas\thomais02,PG,32,LAL,4,1,101,12,39,.308,5,22,.227,7,17,.412,.372,8,11,.727,1,7,8,6,0,2,5,12,37
528,Isaiah Thomas\thomais02,PG,32,DAL,1,0,13,3,8,.375,0,3,.000,3,5,.600,.375,0,0,,0,0,0,4,0,0,0,0,6
528,Isaiah Thomas\thomais02,PG,32,CHO,11,0,155,38,85,.447,16,40,.400,22,45,.489,.541,10,11,.909,2,13,15,19,6,2,7,12,102
529,Matt Thomas\thomama02,SG,27,CHI,40,0,459,55,134,.410,35,91,.385,20,43,.465,.541,16,20,.800,3,47,50,20,8,3,8,18,161
530,Klay Thompson\thompkl01,SG,31,GSW,28,28,804,199,473,.421,92,245,.376,107,228,.469,.518,39,43,.907,14,98,112,76,16,17,35,43,529
531,Tristan Thompson\thomptr01,PF,30,TOT,50,5,788,123,236,.521,1,3,.333,122,233,.524,.523,56,104,.538,103,151,254,30,22,18,43,88,303
531,Tristan Thompson\thomptr01,PF,30,SAC,30,3,455,76,151,.503,1,1,1.000,75,150,.500,.507,32,60,.533,72,89,161,18,11,12,29,52,185
531,Tristan Thompson\thomptr01,PF,30,IND,4,0,66,13,24,.542,0,0,,13,24,.542,.542,3,8,.375,7,11,18,2,0,2,4,7,29
531,Tristan Thompson\thomptr01,PF,30,CHI,16,2,267,34,61,.557,0,2,.000,34,59,.576,.557,21,36,.583,24,51,75,10,11,4,10,29,89
532,JT Thor\thorjt01,PF,19,CHO,29,0,246,24,54,.444,7,26,.269,17,28,.607,.509,10,16,.625,11,29,40,18,8,10,8,25,65
533,Matisse Thybulle\thybuma01,SG,24,PHI,59,44,1507,136,273,.498,42,133,.316,94,140,.671,.575,34,43,.791,35,102,137,62,101,64,37,145,348
534,Killian Tillie\tilliki02,C,23,MEM,36,3,461,43,127,.339,27,86,.314,16,41,.390,.445,5,8,.625,21,39,60,22,23,15,13,58,118
535,Xavier Tillman Sr.\tillmxa01,PF,23,MEM,48,0,608,86,186,.462,9,40,.225,77,146,.527,.487,40,61,.656,59,88,147,48,45,15,32,57,221
536,Isaiah Todd\toddis01,PF,20,WAS,10,0,41,5,17,.294,4,11,.364,1,6,.167,.412,2,6,.333,2,8,10,3,2,2,1,1,16
537,Obi Toppin\toppiob01,PF,23,NYK,66,5,1030,200,381,.525,33,127,.260,167,254,.657,.568,75,102,.735,63,173,236,62,21,26,49,92,508
538,Juan Toscano-Anderson\toscaju01,SF,28,GSW,70,6,948,110,227,.485,26,84,.310,84,143,.587,.542,40,70,.571,28,142,170,122,46,16,64,107,286
539,Karl-Anthony Towns\townska01,C,26,MIN,69,69,2309,595,1125,.529,139,340,.409,456,785,.581,.591,366,443,.826,179,495,674,254,68,78,211,245,1695
540,Gary Trent Jr.\trentga02,SG,23,TOR,63,62,2195,395,972,.406,185,495,.374,210,477,.440,.502,156,186,.839,24,150,174,130,114,17,65,131,1131
541,P.J. Tucker\tuckepj01,PF,36,MIA,68,67,1905,202,417,.484,79,190,.416,123,227,.542,.579,43,59,.729,96,272,368,142,55,14,64,158,526
542,Rayjon Tucker\tuckera01,SG,24,DEN,3,0,29,1,2,.500,1,2,.500,0,0,,.750,3,4,.750,1,3,4,4,1,0,0,3,6
543,Myles Turner\turnemy01,C,25,IND,42,42,1235,200,393,.509,61,183,.333,139,210,.662,.587,79,105,.752,65,232,297,44,28,118,54,119,540
544,Jonas Valančiūnas\valanjo01,C,29,NOP,69,69,2118,484,897,.540,56,154,.364,428,743,.576,.571,224,273,.821,214,588,802,177,37,59,168,228,1248
545,Denzel Valentine\valende01,SG,28,TOT,24,0,222,25,66,.379,19,47,.404,6,19,.316,.523,0,0,,9,33,42,11,8,0,12,20,69
545,Denzel Valentine\valende01,SG,28,CLE,22,0,204,23,62,.371,18,44,.409,5,18,.278,.516,0,0,,9,29,38,11,7,0,10,17,64
545,Denzel Valentine\valende01,SG,28,UTA,2,0,18,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,0,4,4,0,1,0,2,3,5
546,Jarred Vanderbilt\vandeja01,PF,22,MIN,68,61,1740,200,339,.590,2,13,.154,198,326,.607,.593,80,122,.656,203,386,589,88,92,42,65,168,482
547,Fred VanVleet\vanvlfr01,PG,27,TOR,61,61,2313,419,1025,.409,229,596,.384,190,429,.443,.520,181,207,.874,43,235,278,407,97,31,158,150,1248
548,Devin Vassell\vassede01,SF,21,SAS,65,26,1750,291,689,.422,118,337,.350,173,352,.491,.508,70,85,.824,41,240,281,120,67,40,53,134,770
549,Gabe Vincent\vincega01,PG,25,MIA,63,26,1503,203,490,.414,111,307,.362,92,183,.503,.528,42,52,.808,22,97,119,200,61,12,94,149,559
550,Nikola Vučević\vucevni01,C,31,CHI,67,67,2242,509,1067,.477,97,308,.315,412,759,.543,.522,86,114,.754,131,626,757,219,67,70,126,169,1201
551,Dean Wade\wadede01,PF,25,CLE,51,28,980,99,217,.456,51,142,.359,48,75,.640,.574,20,30,.667,31,119,150,52,29,7,16,88,269
552,Franz Wagner\wagnefr01,SF,20,ORL,76,76,2391,444,953,.466,93,266,.350,351,687,.511,.515,186,216,.861,83,268,351,227,68,33,118,159,1167
553,Moritz Wagner\wagnemo01,C,24,ORL,57,1,808,169,344,.491,57,174,.328,112,170,.659,.574,93,115,.809,35,153,188,74,17,13,45,106,488
554,Ish Wainright\wainris01,PF,27,PHO,41,0,288,25,73,.342,11,42,.262,14,31,.452,.418,5,10,.500,19,24,43,11,11,6,12,41,66
555,Kemba Walker\walkeke02,PG,31,NYK,37,37,948,149,370,.403,73,199,.367,76,171,.444,.501,60,71,.845,14,97,111,131,26,7,48,37,431
556,Lonnie Walker IV\walkelo01,SG,23,SAS,65,6,1505,292,716,.408,103,325,.317,189,391,.483,.480,106,136,.779,18,147,165,139,39,18,67,94,793
557,M.J. Walker\walkemj01,SG,23,PHO,2,0,8,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,1,1,1,2,0,0,1,0
558,Tyrone Wallace\wallaty01,SG,27,NOP,6,0,75,7,20,.350,2,8,.250,5,12,.417,.400,1,5,.200,0,8,8,1,3,1,2,7,17
559,Derrick Walton\waltode01,PG,26,DET,3,3,108,6,26,.231,3,13,.231,3,13,.231,.288,4,4,1.000,2,8,10,21,7,4,11,8,19
560,Brad Wanamaker\wanambr01,PG,32,TOT,23,2,320,28,77,.364,4,17,.235,24,60,.400,.390,23,25,.920,6,33,39,55,7,6,23,45,83
560,Brad Wanamaker\wanambr01,PG,32,IND,22,1,293,26,72,.361,4,17,.235,22,55,.400,.389,20,22,.909,6,29,35,48,5,6,23,42,76
560,Brad Wanamaker\wanambr01,PG,32,WAS,1,1,27,2,5,.400,0,0,,2,5,.400,.400,3,3,1.000,0,4,4,7,2,0,0,3,7
561,Duane Washington Jr.\washidu02,PG,21,IND,42,7,843,148,372,.398,68,186,.366,80,186,.430,.489,38,51,.745,3,68,71,78,21,2,52,61,402
562,P.J. Washington\washipj01,PF,23,CHO,59,22,1588,223,487,.458,105,287,.366,118,200,.590,.566,53,74,.716,77,235,312,132,51,53,73,137,604
563,Yuta Watanabe\watanyu01,SF,27,TOR,35,4,418,54,129,.419,27,74,.365,27,55,.491,.523,21,37,.568,18,66,84,19,8,16,19,37,156
564,Lindy Waters III\waterli01,SG,24,OKC,20,1,356,47,123,.382,35,104,.337,12,19,.632,.524,1,1,1.000,2,52,54,18,14,7,8,26,130
565,Tremont Waters\watertr01,PG,24,TOT,3,0,50,4,14,.286,2,9,.222,2,5,.400,.357,0,0,,0,4,4,7,5,0,4,4,10
565,Tremont Waters\watertr01,PG,24,TOR,2,0,42,3,12,.250,2,9,.222,1,3,.333,.333,0,0,,0,4,4,7,4,0,4,2,8
565,Tremont Waters\watertr01,PG,24,WAS,1,0,8,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,1,0,0,2,2
566,Trendon Watford\watfotr01,SF,21,POR,48,10,869,142,267,.532,9,38,.237,133,229,.581,.549,71,94,.755,57,142,199,81,25,28,44,116,364
567,Paul Watson\watsopa01,SF,27,OKC,9,3,156,12,35,.343,6,26,.231,6,9,.667,.429,1,2,.500,3,24,27,8,3,3,4,10,31
568,Quinndary Weatherspoon\weathqu01,SG,25,GSW,9,0,68,12,20,.600,1,4,.250,11,16,.688,.625,5,5,1.000,2,12,14,4,1,1,3,15,30
569,Russell Westbrook\westbru01,PG,33,LAL,73,73,2513,504,1148,.439,74,250,.296,430,898,.479,.471,243,365,.666,104,443,547,522,73,19,281,217,1325
570,Coby White\whiteco01,PG,21,CHI,55,16,1508,256,583,.439,123,317,.388,133,266,.500,.545,73,85,.859,16,151,167,161,26,11,62,122,708
571,Derrick White\whitede01,SG,27,TOT,69,51,2032,313,754,.415,104,347,.300,209,407,.514,.484,186,213,.873,36,204,240,348,63,57,111,162,916
571,Derrick White\whitede01,SG,27,SAS,49,48,1486,243,570,.426,81,258,.314,162,312,.519,.497,139,160,.869,25,148,173,274,49,42,87,116,706
571,Derrick White\whitede01,SG,27,BOS,20,3,546,70,184,.380,23,89,.258,47,95,.495,.443,47,53,.887,11,56,67,74,14,15,24,46,210
572,Hassan Whiteside\whiteha01,C,32,UTA,60,8,1086,196,302,.649,0,0,,196,302,.649,.649,93,149,.624,147,310,457,22,22,90,51,170,485
573,Joe Wieskamp\wieskjo01,SG,22,SAS,24,0,160,19,50,.380,13,38,.342,6,12,.500,.510,5,9,.556,4,5,9,7,3,3,2,11,56
574,Aaron Wiggins\wiggiaa01,SG,23,OKC,47,32,1125,143,309,.463,40,128,.313,103,181,.569,.528,53,71,.746,50,115,165,60,30,10,47,90,379
575,Andrew Wiggins\wiggian01,SF,26,GSW,68,68,2165,442,952,.464,143,370,.386,299,582,.514,.539,136,213,.638,78,226,304,151,73,48,102,144,1163
576,Lindell Wigginton\wiggili01,PG,23,MIL,16,0,126,16,35,.457,7,17,.412,9,18,.500,.557,11,20,.550,2,15,17,9,3,1,8,9,50
577,Brandon Williams\willibr03,PG,22,POR,18,11,481,86,223,.386,24,84,.286,62,139,.446,.439,57,83,.687,15,43,58,61,19,8,41,40,253
578,Grant Williams\willigr01,PF,23,BOS,71,19,1712,189,395,.478,100,238,.420,89,157,.567,.605,79,87,.908,59,191,250,74,34,51,54,170,557
579,Kenrich Williams\willike04,SF,27,OKC,49,0,1072,146,317,.461,41,121,.339,105,196,.536,.525,30,55,.545,75,145,220,108,44,10,46,81,363
580,Lou Williams\willilo02,PG,35,ATL,53,0,761,122,306,.399,36,98,.367,86,208,.413,.458,62,72,.861,15,69,84,100,28,3,40,48,342
581,Patrick Williams\willipa01,PF,20,CHI,10,5,206,21,43,.488,5,13,.385,16,30,.533,.547,5,9,.556,5,20,25,6,6,3,6,14,52
582,Robert Williams\williro04,C,24,BOS,61,61,1804,271,368,.736,0,1,.000,271,367,.738,.736,65,90,.722,238,350,588,121,56,134,63,137,607
583,Ziaire Williams\willizi02,SF,20,MEM,56,28,1197,164,361,.454,64,208,.308,100,153,.654,.543,29,39,.744,22,93,115,57,30,11,37,103,421
584,D.J. Wilson\wilsodj01,PF,25,TOR,4,1,54,11,15,.733,0,2,.000,11,13,.846,.733,8,10,.800,1,15,16,5,5,1,2,6,30
585,Dylan Windler\windldy01,SF,25,CLE,45,0,408,34,87,.391,21,62,.339,13,25,.520,.511,14,17,.824,19,65,84,29,13,3,14,42,103
586,Justise Winslow\winslju01,SF,25,TOT,48,11,774,110,257,.428,15,66,.227,95,191,.497,.457,39,66,.591,50,152,202,84,35,25,49,67,274
586,Justise Winslow\winslju01,SF,25,LAC,37,1,479,63,141,.447,5,29,.172,58,112,.518,.465,25,41,.610,30,103,133,52,21,18,37,46,156
586,Justise Winslow\winslju01,SF,25,POR,11,10,295,47,116,.405,10,37,.270,37,79,.468,.448,14,25,.560,20,49,69,32,14,7,12,21,118
587,Cassius Winston\winstca01,PG,23,WAS,5,0,27,3,6,.500,2,5,.400,1,1,1.000,.667,2,2,1.000,0,0,0,5,0,0,1,7,10
588,Christian Wood\woodch01,C,26,HOU,68,67,2094,440,878,.501,131,336,.390,309,542,.570,.576,207,332,.623,110,576,686,155,54,65,126,171,1218
589,Robert Woodard II\woodaro01,SF,22,SAC,12,0,42,2,16,.125,1,4,.250,1,12,.083,.156,2,2,1.000,5,6,11,3,1,1,1,3,7
590,Delon Wright\wrighde01,SG,29,ATL,70,8,1302,114,250,.456,40,104,.385,74,146,.507,.536,49,57,.860,45,153,198,167,80,18,44,51,317
591,McKinley Wright IV\wrighmc01,PG,23,MIN,3,0,9,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,0,0,1,0,0,1,1,5
592,Moses Wright\wrighmo01,PF,23,TOT,2,0,4,1,3,.333,0,0,,1,3,.333,.333,1,1,1.000,1,0,1,1,0,0,0,0,3
592,Moses Wright\wrighmo01,PF,23,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
592,Moses Wright\wrighmo01,PF,23,DAL,1,0,3,1,3,.333,0,0,,1,3,.333,.333,1,1,1.000,1,0,1,0,0,0,0,0,3
593,Thaddeus Young\youngth01,PF,33,TOT,45,1,708,124,235,.528,12,33,.364,112,202,.554,.553,17,39,.436,68,106,174,88,43,17,48,67,277
593,Thaddeus Young\youngth01,PF,33,SAS,26,1,370,74,128,.578,0,5,.000,74,123,.602,.578,10,22,.455,40,53,93,59,23,7,30,38,158
593,Thaddeus Young\youngth01,PF,33,TOR,19,0,338,50,107,.467,12,28,.429,38,79,.481,.523,7,17,.412,28,53,81,29,20,10,18,29,119
594,Trae Young\youngtr01,PG,23,ATL,69,69,2414,639,1396,.458,208,545,.382,431,851,.506,.532,443,491,.902,45,216,261,665,70,7,276,114,1929
595,Omer Yurtseven\yurtsom01,C,23,MIA,52,11,641,122,227,.537,1,8,.125,121,219,.553,.540,36,57,.632,77,197,274,47,15,19,39,77,281
596,Cody Zeller\zelleco01,C,29,POR,27,0,355,51,90,.567,0,4,.000,51,86,.593,.567,38,49,.776,50,75,125,22,8,6,19,56,140
597,Ivica Zubac\zubaciv01,C,24,LAC,69,69,1683,273,440,.620,0,0,,273,440,.620,.620,153,209,.732,193,385,578,108,35,71,109,182,699